Multi Channel Analyzer Raw Data
Version: 1

Channel: 17
[s]	[µV]
0.348	594.176132
0.3481	592.400886
0.3482	598.374524
0.3483	582.384352
0.3484	589.303924
0.3485	615.155134
0.3486	615.37542
0.3487	606.227072
0.3488	606.680602
0.3489	612.110004
0.349	578.691322
0.3491	566.484886
0.3492	587.25656
0.3493	596.029126
0.3494	594.44825
0.3495	600.47372
0.3496	587.787838
0.3497	578.548784
0.3498	570.877648
0.3499	581.567998
0.35	589.122512
0.3501	577.99159
0.3502	563.193554
0.3503	560.666744
0.3504	573.52108
0.3505	586.9974
0.3506	565.046548
0.3507	564.567102
0.3508	554.356198
0.3509	541.177912
0.351	538.197572
0.3511	546.944222
0.3512	552.438414
0.3513	543.108654
0.3514	548.162274
0.3515	551.62206
0.3516	547.462542
0.3517	554.369156
0.3518	554.08408
0.3519	557.090336
0.352	533.960306
0.3521	527.481306
0.3522	536.629654
0.3523	526.846364
0.3524	527.13144
0.3525	521.442878
0.3526	522.59614
0.3527	518.51437
0.3528	499.815976
0.3529	504.947344
0.353	527.027776
0.3531	529.26951
0.3532	518.44958
0.3533	523.036712
0.3534	531.757446
0.3535	510.946898
0.3536	506.0099
0.3537	526.263254
0.3538	508.08318
0.3539	508.627416
0.354	514.069776
0.3541	507.56486
0.3542	493.984876
0.3543	486.261908
0.3544	485.380764
0.3545	491.160032
0.3546	501.111776
0.3547	503.716334
0.3548	501.941088
0.3549	504.830722
0.355	500.1788
0.3551	493.077816
0.3552	497.937066
0.3553	499.155118
0.3554	499.945556
0.3555	485.53626
0.3556	489.68282
0.3557	480.651094
0.3558	485.419638
0.3559	494.645734
0.356	489.03492
0.3561	490.65467
0.3562	498.196226
0.3563	483.294526
0.3564	483.501854
0.3565	478.34457
0.3566	468.328036
0.3567	465.606856
0.3568	483.65735
0.3569	484.966108
0.357	491.23778
0.3571	491.95047
0.3572	480.210522
0.3573	459.348142
0.3574	461.82312
0.3575	470.232862
0.3576	474.06843
0.3577	477.43751
0.3578	462.911592
0.3579	479.147966
0.358	482.789164
0.3581	489.449576
0.3582	488.814634
0.3583	483.52777
0.3584	469.623836
0.3585	453.452252
0.3586	468.211414
0.3587	482.452256
0.3588	479.212756
0.3589	488.568432
0.359	476.698904
0.3591	479.588538
0.3592	483.437064
0.3593	469.79229
0.3594	496.589434
0.3595	503.22393
0.3596	499.738228
0.3597	495.008558
0.3598	496.187736
0.3599	495.047432
0.36	505.802572
0.3601	516.752082
0.3602	496.511686
0.3603	499.906682
0.3604	498.973706
0.3605	482.6855
0.3606	499.388362
0.3607	516.816872
0.3608	516.233762
0.3609	513.953154
0.361	498.273974
0.3611	482.063516
0.3612	511.763252
0.3613	518.436622
0.3614	503.210972
0.3615	503.87183
0.3616	490.278888
0.3617	495.021516
0.3618	509.806594
0.3619	511.996496
0.362	510.247166
0.3621	512.87764
0.3622	521.313298
0.3623	514.69176
0.3624	525.537606
0.3625	513.7847
0.3626	514.743592
0.3627	525.408026
0.3628	505.310168
0.3629	514.69176
0.363	507.62965
0.3631	504.58452
0.3632	518.825362
0.3633	522.324022
0.3634	514.614012
0.3635	521.831618
0.3636	504.84368
0.3637	504.675226
0.3638	520.924558
0.3639	525.602396
0.364	512.009454
0.3641	524.423218
0.3642	521.961198
0.3643	534.58229
0.3644	549.4192
0.3645	525.848598
0.3646	509.042072
0.3647	518.747614
0.3648	518.695782
0.3649	514.160482
0.365	525.51169
0.3651	522.894174
0.3652	515.572904
0.3653	507.50007
0.3654	518.656908
0.3655	525.38211
0.3656	514.523306
0.3657	500.76191
0.3658	505.012134
0.3659	511.076478
0.366	513.745826
0.3661	507.914726
0.3662	500.515708
0.3663	503.897746
0.3664	510.856192
0.3665	510.86915
0.3666	504.97326
0.3667	505.504538
0.3668	477.191308
0.3669	487.130094
0.367	499.777102
0.3671	492.650202
0.3672	487.324464
0.3673	488.348146
0.3674	499.582732
0.3675	493.777548
0.3676	491.639478
0.3677	484.849486
0.3678	474.223926
0.3679	477.269056
0.368	476.776652
0.3681	477.074686
0.3682	474.496044
0.3683	474.055472
0.3684	482.840996
0.3685	488.97013
0.3686	490.110434
0.3687	503.003644
0.3688	474.962532
0.3689	459.957168
0.369	474.19801
0.3691	479.303462
0.3692	466.980404
0.3693	455.564406
0.3694	460.371824
0.3695	432.058594
0.3696	443.656004
0.3697	456.419634
0.3698	441.453144
0.3699	439.53536
0.37	453.91874
0.3701	470.453148
0.3702	449.798096
0.3703	442.101044
0.3704	428.559934
0.3705	436.736432
0.3706	429.596574
0.3707	435.220346
0.3708	431.799434
0.3709	432.382544
0.371	455.966104
0.3711	451.210518
0.3712	441.336522
0.3713	444.666728
0.3714	439.185494
0.3715	447.582278
0.3716	448.437506
0.3717	431.527316
0.3718	428.754304
0.3719	430.78871
0.372	417.18281
0.3721	420.448226
0.3722	417.130978
0.3723	405.935266
0.3724	414.034016
0.3725	405.753854
0.3726	415.005866
0.3727	416.431246
0.3728	406.699788
0.3729	404.03044
0.373	407.606848
0.3731	385.578248
0.3732	383.75117
0.3733	379.15108
0.3734	380.084056
0.3735	393.197552
0.3736	412.440182
0.3737	413.308368
0.3738	406.064846
0.3739	387.586738
0.374	416.521952
0.3741	395.193084
0.3742	390.955818
0.3743	395.80211
0.3744	387.37941
0.3745	376.94822
0.3746	370.883876
0.3747	390.800322
0.3748	380.667166
0.3749	383.349472
0.375	393.573334
0.3751	383.051438
0.3752	374.4862
0.3753	387.781108
0.3754	392.899518
0.3755	381.988882
0.3756	394.791386
0.3757	395.724362
0.3758	392.122038
0.3759	379.487988
0.376	400.518822
0.3761	402.66985
0.3762	386.705594
0.3763	387.029544
0.3764	375.820874
0.3765	389.854388
0.3766	405.689064
0.3767	385.254298
0.3768	397.03312
0.3769	395.776194
0.377	389.919178
0.3771	390.087632
0.3772	378.840088
0.3773	389.374942
0.3774	392.04429
0.3775	385.30613
0.3776	374.123376
0.3777	368.214528
0.3778	382.364664
0.3779	408.30658
0.378	409.73196
0.3781	408.43616
0.3782	398.963862
0.3783	387.845898
0.3784	384.580482
0.3785	395.8669
0.3786	405.339198
0.3787	393.01614
0.3788	394.24715
0.3789	396.877624
0.379	418.08987
0.3791	398.043844
0.3792	400.92052
0.3793	410.237322
0.3794	411.312836
0.3795	415.161362
0.3796	400.92052
0.3797	398.924988
0.3798	418.517484
0.3799	409.459842
0.38	396.657338
0.3801	407.46431
0.3802	409.835624
0.3803	410.44465
0.3804	411.701576
0.3805	419.541166
0.3806	402.514354
0.3807	386.031778
0.3808	413.81373
0.3809	411.325794
0.381	408.11221
0.3811	414.707832
0.3812	403.732406
0.3813	417.351264
0.3814	439.107746
0.3815	424.853946
0.3816	402.423648
0.3817	419.359754
0.3818	432.252964
0.3819	426.681024
0.382	428.300774
0.3821	409.135892
0.3822	402.268152
0.3823	419.06172
0.3824	441.569766
0.3825	438.641258
0.3826	418.99693
0.3827	418.452694
0.3828	415.148404
0.3829	414.992908
0.383	422.404884
0.3831	420.759218
0.3832	442.217666
0.3833	429.998272
0.3834	419.100594
0.3835	424.478164
0.3836	418.374946
0.3837	413.917394
0.3838	415.69264
0.3839	432.499166
0.384	419.372712
0.3841	422.249388
0.3842	425.359308
0.3843	425.514804
0.3844	423.700684
0.3845	434.170748
0.3846	433.652428
0.3847	428.922758
0.3848	417.390138
0.3849	406.025972
0.385	417.195768
0.3851	422.10685
0.3852	420.87584
0.3853	421.497824
0.3854	414.72079
0.3855	404.820878
0.3856	391.098356
0.3857	404.341432
0.3858	425.553678
