Multi Channel Analyzer Raw Data
Version: 1

Channel: 86
[s]	[µV]
0.3	-13.191244
0.3001	-23.311442
0.3002	-24.646116
0.3003	-10.573728
0.3004	-4.975872
0.3005	-12.37489
0.3006	-25.410638
0.3007	-15.860592
0.3008	-4.431636
0.3009	-4.522342
0.301	-20.201522
0.3011	-13.47632
0.3012	-11.040216
0.3013	-30.671586
0.3014	-45.858362
0.3015	-50.588032
0.3016	-33.75559
0.3017	-16.638072
0.3018	-16.508492
0.3019	-27.393212
0.302	-36.165778
0.3021	-17.519216
0.3022	-9.213138
0.3023	-20.784632
0.3024	-25.281058
0.3025	-43.99241
0.3026	-43.590712
0.3027	-20.888296
0.3028	-21.419574
0.3029	-33.833338
0.303	-38.42047
0.3031	-41.089818
0.3032	-55.382492
0.3033	-46.273018
0.3034	-50.173376
0.3035	-47.996432
0.3036	-35.453088
0.3037	-51.300722
0.3038	-52.28553
0.3039	-28.028154
0.304	-55.226996
0.3041	-54.799382
0.3042	-37.51341
0.3043	-35.466046
0.3044	-36.528602
0.3045	-41.115734
0.3046	-54.721634
0.3047	-47.724314
0.3048	-53.19259
0.3049	-57.974092
0.305	-51.469176
0.3051	-46.376682
0.3052	-36.062114
0.3053	-36.21761
0.3054	-43.849872
0.3055	-54.61797
0.3056	-44.25157
0.3057	-41.102776
0.3058	-35.582668
0.3059	-38.951748
0.306	-35.738164
0.3061	-42.528156
0.3062	-35.6345
0.3063	-50.873108
0.3064	-64.841832
0.3065	-68.768106
0.3066	-48.812786
0.3067	-48.385172
0.3068	-48.359256
0.3069	-52.078202
0.307	-49.979006
0.3071	-39.599648
0.3072	-48.46292
0.3073	-40.36417
0.3074	-39.97543
0.3075	-41.452642
0.3076	-50.095628
0.3077	-35.751122
0.3078	-29.103668
0.3079	-47.335574
0.308	-33.211354
0.3081	-22.715374
0.3082	-22.689458
0.3083	-32.420916
0.3084	-21.665776
0.3085	-16.663988
0.3086	-22.391424
0.3087	-33.43164
0.3088	-30.179182
0.3089	-31.850764
0.309	-15.640306
0.3091	-14.046472
0.3092	-26.589816
0.3093	-34.66265
0.3094	-17.648796
0.3095	-28.105902
0.3096	-25.838252
0.3097	-11.610368
0.3098	2.436104
0.3099	-14.953532
0.31	-27.01743
0.3101	-23.402148
0.3102	-13.15237
0.3103	0.596068
0.3104	-10.742182
0.3105	-30.917788
0.3106	-21.108582
0.3107	-25.773462
0.3108	-16.223416
0.3109	-6.038428
0.311	-3.926274
0.3111	-12.154604
0.3112	-18.685436
0.3113	-2.021448
0.3114	8.150582
0.3115	19.17784
0.3116	27.898574
0.3117	17.519216
0.3118	6.34942
0.3119	12.69884
0.312	6.336462
0.3121	7.334228
0.3122	10.197946
0.3123	18.193032
0.3124	12.906168
0.3125	12.297142
0.3126	15.666222
0.3127	18.374444
0.3128	15.445936
0.3129	15.35523
0.313	7.010278
0.3131	23.428064
0.3132	30.567922
0.3133	26.188118
0.3134	19.89053
0.3135	14.525918
0.3136	14.9017
0.3137	24.723864
0.3138	24.81457
0.3139	13.178286
0.314	24.646116
0.3141	18.996428
0.3142	12.867294
0.3143	20.79759
0.3144	34.14433
0.3145	25.00894
0.3146	10.43119
0.3147	8.979894
0.3148	7.787758
0.3149	12.841378
0.315	28.740844
0.3151	19.164882
0.3152	6.206882
0.3153	23.3244
0.3154	22.909744
0.3155	11.545578
0.3156	18.504024
0.3157	17.182308
0.3158	33.081774
0.3159	37.604116
0.316	21.393658
0.3161	25.799378
0.3162	27.380254
0.3163	28.105902
0.3164	19.877572
0.3165	22.495088
0.3166	14.344506
0.3167	21.678734
0.3168	22.948618
0.3169	10.159072
0.317	16.236374
0.3171	23.38919
0.3172	8.008044
0.3173	5.986596
0.3174	5.31278
0.3175	15.847634
0.3176	23.078198
0.3177	11.299376
0.3178	13.126454
0.3179	8.785524
0.318	-7.243522
0.3181	9.52413
0.3182	31.87668
0.3183	13.100538
0.3184	10.081324
0.3185	5.57194
0.3186	-8.267204
0.3187	-2.941466
